PassengerId,Survived,Pclass,Sex,SibSp,Parch,Embarked,Age_range,Fare_category
1,0,3,0,1,0,0.0,1,0
2,1,1,1,1,0,1.0,2,3
3,1,3,1,0,0,0.0,1,1
4,1,1,1,1,0,0.0,2,3
5,0,3,0,0,0,0.0,2,1
6,0,3,0,0,0,2.0,0,1
7,0,1,0,0,0,0.0,3,3
8,0,3,0,3,1,0.0,0,2
9,1,3,1,0,2,0.0,1,1
10,1,2,1,1,0,1.0,0,2
11,1,3,1,1,1,0.0,0,2
12,1,1,1,0,0,0.0,3,2
13,0,3,0,0,0,0.0,1,1
14,0,3,0,1,5,0.0,2,3
15,0,3,1,0,0,0.0,0,0
16,1,2,1,0,0,0.0,3,2
17,0,3,0,4,1,2.0,0,2
18,1,2,0,0,0,0.0,0,1
19,0,3,1,1,0,0.0,1,2
20,1,3,1,0,0,1.0,0,0
21,0,2,0,0,0,0.0,2,2
22,1,2,0,0,0,0.0,2,1
23,1,3,1,0,0,2.0,0,1
24,1,1,0,0,0,0.0,1,3
25,0,3,1,3,1,0.0,0,2
26,1,3,1,1,5,0.0,2,3
27,0,3,0,0,0,1.0,0,0
28,0,1,0,3,2,0.0,1,3
29,1,3,1,0,0,2.0,0,0
30,0,3,0,0,0,0.0,0,0
31,0,1,0,0,0,1.0,2,2
32,1,1,1,1,0,1.0,0,3
33,1,3,1,0,0,2.0,0,0
34,0,2,0,0,0,0.0,4,1
35,0,1,0,1,0,1.0,1,3
36,0,1,0,1,0,0.0,2,3
37,1,3,0,0,0,1.0,0,0
38,0,3,0,0,0,0.0,1,1
39,0,3,1,2,0,0.0,1,2
40,1,3,1,1,0,1.0,0,1
41,0,3,1,1,0,0.0,2,1
42,0,2,1,1,0,0.0,1,2
43,0,3,0,0,0,1.0,0,0
44,1,2,1,1,2,1.0,0,3
45,1,3,1,0,0,2.0,1,0
46,0,3,0,0,0,0.0,0,1
47,0,3,0,1,0,2.0,0,2
48,1,3,1,0,0,2.0,0,0
49,0,3,0,2,0,1.0,0,2
50,0,3,1,1,0,0.0,1,2
51,0,3,0,4,1,0.0,0,3
52,0,3,0,0,0,0.0,1,0
53,1,1,1,1,0,1.0,3,3
54,1,2,1,1,0,0.0,1,2
55,0,1,0,0,1,1.0,4,3
56,1,1,0,0,0,0.0,0,3
57,1,2,1,0,0,0.0,1,1
58,0,3,0,0,0,1.0,1,0
59,1,2,1,1,2,0.0,0,2
60,0,3,0,5,2,0.0,0,3
61,0,3,0,0,0,1.0,1,0
62,1,1,1,0,0,0.0,2,3
63,0,1,0,1,0,0.0,2,3
64,0,3,0,3,2,0.0,0,2
65,0,1,0,0,0,1.0,0,2
66,1,3,0,1,1,1.0,0,2
67,1,2,1,0,0,0.0,1,1
68,0,3,0,0,0,0.0,1,1
69,1,3,1,4,2,0.0,1,1
70,0,3,0,2,0,0.0,1,1
71,0,2,0,0,0,0.0,1,1
72,0,3,1,5,2,0.0,0,3
